A	B	C	D	E
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 117.684024 	 37.405379
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 53.329180 	 17.417457
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 25.793965 	 9.973968
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 58.388886 	 9.913968
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 52.313701 	 32.948987
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 63.622474 	 7.786513
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 44.139195 	 15.579456
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 67.518354 	 7.877078
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 88.149570 	 29.576213
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 78.113802 	 9.174000
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 61.442132 	 29.055615
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 66.170012 	 25.660389
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 79.578870 	 31.445389
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 99.622874 	 7.987889
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 87.871069 	 39.978379
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 27.952232 	 10.039968
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 30.038846 	 7.402458
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 60.128395 	 17.714457
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 35.961829 	 25.569389
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 71.200186 	 8.739077
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 76.318735 	 15.072513
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 86.202903 	 29.897213
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 85.310359 	 33.288986
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 75.568467 	 8.546076
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 88.106460 	 31.339389
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 90.906667 	 10.396968
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 103.832398 	 39.994988
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 105.256440 	 8.904998
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 96.939835 	 15.185456
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 22.533105 	 5.900968
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 23.282850 	 1.503000
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 98.536253 	 39.989379
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 32.651150 	 6.687079
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 108.053047 	 29.574615
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 43.083358 	 14.913457
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 46.495698 	 9.941458
