A	B	C	D	E
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 67.719392 	 11.995456
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 77.783322 	 23.967389
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 115.029060 	 6.841968
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 108.882470 	 37.405379
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 31.904117 	 9.913968
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 34.583099 	 7.582458
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 38.058192 	 17.417457
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 33.656196 	 7.877078
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 49.730250 	 9.174000
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 81.224347 	 29.576213
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 72.513707 	 7.786513
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 57.042746 	 9.973968
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 60.781914 	 25.660389
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 74.048758 	 31.445389
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 65.529916 	 29.055615
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 104.072554 	 32.948987
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 121.578131 	 8.055077
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 105.621141 	 39.978379
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 127.743910 	 7.987889
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 126.458761 	 15.579456
